Timestamp,Твоя програма,Стать,Курс,Чи проживаєш ти у колегіумі?,"Якби вибори студентського Урядку відбувалися завтра, за кого ти би віддав свій голос?",Поясни свій вибір за бажанням ,Чи ти належиш до СО?,Чи ти куриш?(паріння теж враховується),Чи ти цікавишся студентським політичним житям або політикою у країні?
10/4/2023 18:30:59,ЕПЕ,Жінка,3,Ні,Авжеж,,Так,Ні,"Так, і тим, і тим"
10/4/2023 18:31:02,ІТ та БА,Чоловік,1,Ні,Не визначився(лась),,Ні,Ні,"Так, політикою"
10/4/2023 18:31:04,ІТ та БА,Чоловік,1,Так,Авжеж,"Добре знаю представників, подобається їх ідеологія, часткова неформальність",Ні,Ні,50 на 50
10/4/2023 18:32:59,ЕПЕ,Жінка,2,Так,Авжеж,,Ні,Так,"Так, і тим, і тим"
10/4/2023 18:33:31,Культурологія,Жінка,2,Так,Так,,Ні,Так,"Так, і тим, і тим"
10/4/2023 18:33:40,ІТ та БА,Чоловік,3,Ні,Та ти шо,Заради цікавості,Ні,Ні,"Так, і тим, і тим"
10/4/2023 18:33:56,Психологія,Жінка,1,Так,Так,,Ні,Так,"Так, студ життям"
10/4/2023 18:34:13,Соціальна робота,Жінка,1,Ні,Авжеж,,Так,Інколи,"Так, і тим, і тим"
10/4/2023 18:34:34,ЕПЕ,Жінка,2,Ні,Так,гарна і наповнена програма,Так,Так,"Так, студ життям"
10/4/2023 18:34:37,Магістр,Жінка,5,Ні,Я виступаю проти всіх,,Ні,Так,"Так, і тим, і тим"
10/4/2023 18:34:45,Соціальна робота,Жінка,2,Так,Авжеж,,Ні,Ні,50 на 50
10/4/2023 18:35:29,ЕПЕ,Жінка,2,Так,Так,,Так,Ні,"Так, і тим, і тим"
10/4/2023 18:35:41,ІТ та БА,Чоловік,3,Так,Та ти шо,,Ні,Ні,50 на 50
10/4/2023 18:35:48,ІТ та БА,Жінка,3,Ні,Так,,Ні,Ні,"Так, і тим, і тим"
10/4/2023 18:35:53,Право,Чоловік,2,Ні,Так,,Так,Ні,"Так, і тим, і тим"
10/4/2023 18:36:20,Соціологія,Жінка,1,Так,Не визначився(лась),,Так,Ні,"Так, і тим, і тим"
10/4/2023 18:36:25,Психологія,Жінка,2,Ні,Так,,Ні,Інколи,50 на 50
10/4/2023 18:37:07,Комп’ютерні науки,Чоловік,3,Ні,Та ти шо,,Ні,Так,"Ні, нічим з вище переліченого"
10/4/2023 18:37:16,ІТ та БА,Чоловік,4,Ні,Та ти шо,,Так,Так,"Так, і тим, і тим"
10/4/2023 18:37:35,Психологія,Жінка,2,Так,Так,,Так,Ні,"Так, і тим, і тим"
10/4/2023 18:37:36,Комп’ютерні науки,Чоловік,3,Так,Так,,Ні,Так,"Так, і тим, і тим"
10/4/2023 18:37:48,ІТ та БА,Жінка,4,Ні,Авжеж,,Ні,Ні,50 на 50
10/4/2023 18:38:27,Історія,Жінка,3,Так,Так,,Так,Так,"Так, і тим, і тим"
10/4/2023 18:38:55,ЕПЕ,Жінка,2,Так,Авжеж,,Так,Ні,"Так, і тим, і тим"
