,Year,Month,DayofMonth,DepDelay,date,average_dep_delay
30743,2008,1,1,20.0,2008-01-01,45.25149628920278
30736,2008,1,2,29.0,2008-01-02,43.32384636639956
0,2008,1,3,8.0,2008-01-03,38.315338753387536
1661,2008,1,4,78.0,2008-01-04,44.3691132795927
3409,2008,1,5,76.0,2008-01-05,47.64796573875803
4914,2008,1,6,7.0,2008-01-06,42.625748869054895
6752,2008,1,7,6.0,2008-01-07,47.97093223254214
7746,2008,1,8,21.0,2008-01-08,45.04513503514613
8630,2008,1,9,60.0,2008-01-09,35.558618976651765
9289,2008,1,10,79.0,2008-01-10,40.39808981914245
10139,2008,1,11,26.0,2008-01-11,45.970146379044685
10962,2008,1,12,6.0,2008-01-12,32.6804979253112
11269,2008,1,13,26.0,2008-01-13,32.02757273122015
12308,2008,1,14,12.0,2008-01-14,37.41761786600496
12720,2008,1,15,24.0,2008-01-15,38.446593533487295
13310,2008,1,16,10.0,2008-01-16,37.57846542469214
13845,2008,1,17,31.0,2008-01-17,50.243627582506036
15366,2008,1,18,8.0,2008-01-18,34.4892803495835
16961,2008,1,19,13.0,2008-01-19,41.11763417305586
17585,2008,1,20,26.0,2008-01-20,35.23458679492785
18107,2008,1,21,57.0,2008-01-21,50.9796411757221
19686,2008,1,22,11.0,2008-01-22,47.906531370587395
20755,2008,1,23,24.0,2008-01-23,44.20127555805665
21606,2008,1,24,26.0,2008-01-24,34.67467173462336
22738,2008,1,25,24.0,2008-01-25,40.741334554893875
24157,2008,1,26,34.0,2008-01-26,32.74660409977772
24769,2008,1,27,7.0,2008-01-27,57.06726649528706
26471,2008,1,28,8.0,2008-01-28,47.20231111111111
27640,2008,1,29,7.0,2008-01-29,50.85359056806002
28300,2008,1,30,10.0,2008-01-30,38.229912149132204
29007,2008,1,31,26.0,2008-01-31,58.923694232861806
218946,2008,2,1,19.0,2008-02-01,54.36714063541435
183527,2008,2,2,17.0,2008-02-02,37.30543633762518
183648,2008,2,3,73.0,2008-02-03,55.40538573508006
185000,2008,2,4,64.0,2008-02-04,48.97452061991069
186788,2008,2,5,19.0,2008-02-05,48.70158286778398
188230,2008,2,6,21.0,2008-02-06,47.21789457218833
189614,2008,2,7,8.0,2008-02-07,34.617087062652566
191152,2008,2,8,54.0,2008-02-08,36.89322566173172
192723,2008,2,9,6.0,2008-02-09,34.00813262433532
193181,2008,2,10,17.0,2008-02-10,42.951771030993044
194402,2008,2,11,21.0,2008-02-11,44.83457123565159
195320,2008,2,12,13.0,2008-02-12,60.91350180505415
196835,2008,2,13,36.0,2008-02-13,55.0315606361829
198538,2008,2,14,53.0,2008-02-14,36.14318959616701
200073,2008,2,15,9.0,2008-02-15,35.64458868724334
201614,2008,2,16,14.0,2008-02-16,41.285831791075466
202376,2008,2,17,50.0,2008-02-17,56.30658467076646
203615,2008,2,18,13.0,2008-02-18,50.85324798482693
205017,2008,2,19,46.0,2008-02-19,40.0404792746114
206009,2008,2,20,10.0,2008-02-20,39.173218884120175
207269,2008,2,21,54.0,2008-02-21,42.194727225267556
209058,2008,2,22,37.0,2008-02-22,50.47633973710819
211379,2008,2,23,7.0,2008-02-23,41.81799379524302
212207,2008,2,24,39.0,2008-02-24,39.3645958986731
213697,2008,2,25,13.0,2008-02-25,44.05953766838517
214831,2008,2,26,10.0,2008-02-26,54.55046854082999
215998,2008,2,27,13.0,2008-02-27,33.16750289463528
216818,2008,2,28,34.0,2008-02-28,33.907499459693106
217683,2008,2,29,83.0,2008-02-29,39.28386821925589
412634,2008,3,1,21.0,2008-03-01,32.17988571428572
412690,2008,3,2,13.0,2008-03-02,37.8304995617879
373061,2008,3,3,6.0,2008-03-03,45.24133126934984
373851,2008,3,4,50.0,2008-03-04,52.93758064516129
374648,2008,3,5,10.0,2008-03-05,41.36575616255829
375638,2008,3,6,29.0,2008-03-06,41.349563530552864
376863,2008,3,7,25.0,2008-03-07,47.37495888608705
378741,2008,3,8,36.0,2008-03-08,63.97859245383998
379907,2008,3,9,6.0,2008-03-09,42.08345771144278
381247,2008,3,10,6.0,2008-03-10,40.854953389161004
382428,2008,3,11,7.0,2008-03-11,38.8546371936569
383252,2008,3,12,56.0,2008-03-12,40.18863361547763
384697,2008,3,13,6.0,2008-03-13,31.529043280182233
386026,2008,3,14,18.0,2008-03-14,32.70089535534415
387763,2008,3,15,18.0,2008-03-15,48.34336486099169
389223,2008,3,16,25.0,2008-03-16,35.95821609454136
390915,2008,3,17,16.0,2008-03-17,32.348555874792076
392243,2008,3,18,53.0,2008-03-18,57.35817524841915
393764,2008,3,19,16.0,2008-03-19,54.11936
395502,2008,3,20,10.0,2008-03-20,41.1527244819647
397422,2008,3,21,78.0,2008-03-21,48.28937577511368
399038,2008,3,22,10.0,2008-03-22,38.922294172062905
400089,2008,3,23,7.0,2008-03-23,35.64760068551843
401068,2008,3,24,77.0,2008-03-24,28.978992377765383
402432,2008,3,25,31.0,2008-03-25,41.8371976647206
403846,2008,3,26,10.0,2008-03-26,33.71689303904924
405041,2008,3,27,10.0,2008-03-27,42.13039513677811
